block_index,mode,lam,winner_id,block_time_ticks,fork,n_competing,f_winner,f_reference,f_optimum_est,total_hash_attempts,total_aco_iterations,p0,label
17,hybrid,1.0,24,9,False,1,3.985467629637753,4.205161447952296,4.205161447952296,1556.8882807308123,69.99999999999994,0.00033066666666666666,hybrid(lambda=1.0)
18,hybrid,1.0,22,10,False,1,3.6715803444775466,4.150461803989751,4.150461803989751,1925.8219026459756,76.99999999999996,0.00033066666666666666,hybrid(lambda=1.0)
19,hybrid,1.0,16,1,False,1,4.407061788342473,4.656496080888091,4.656496080888091,156.479077901526,14.000000000000002,0.0002843733333333333,hybrid(lambda=1.0)
20,hybrid,1.0,15,9,False,1,3.7289440160830587,3.819625839137452,3.819625839137452,1288.078188190619,69.9999999999999,0.0002843733333333333,hybrid(lambda=1.0)
21,hybrid,1.0,16,17,False,1,3.485579364867815,4.128487546985109,4.128487546985109,3517.449876421667,126.00000000000006,0.0002843733333333333,hybrid(lambda=1.0)
22,hybrid,1.0,19,17,False,1,3.1720339317533037,3.012639897386964,3.012639897386964,2960.3349817471217,126.00000000000003,0.0002843733333333333,hybrid(lambda=1.0)
23,hybrid,1.0,16,2,False,1,4.171434187667202,3.7979224891918033,3.7979224891918033,210.0824452272447,20.999999999999993,0.0002843733333333333,hybrid(lambda=1.0)
24,hybrid,1.0,19,9,False,1,3.6685171157786667,3.445794837746996,3.445794837746996,1531.371868959587,69.99999999999994,0.0002843733333333333,hybrid(lambda=1.0)
25,hybrid,1.0,1,8,False,1,4.196508174859806,4.683814904662713,4.683814904662713,1447.4787204234237,62.99999999999992,0.0002843733333333333,hybrid(lambda=1.0)
26,hybrid,1.0,5,11,True,2,3.494392328289089,4.638070718946978,4.638070718946978,2164.993493757252,83.99999999999994,0.0002843733333333333,hybrid(lambda=1.0)
27,hybrid,1.0,5,6,False,1,3.566340719518773,3.7731231880268146,3.7731231880268146,541.6089017150982,48.999999999999936,0.0002843733333333333,hybrid(lambda=1.0)
28,hybrid,1.0,5,40,False,1,3.490509704334013,3.633539715250964,3.633539715250964,8705.842343127819,280.0,0.0002843733333333333,hybrid(lambda=1.0)
29,hybrid,1.0,24,33,False,1,3.717534503164047,4.38070559102003,4.38070559102003,7560.045973114513,238.00000000000006,0.00028816497777777773,hybrid(lambda=1.0)
30,hybrid,1.0,15,19,False,1,3.1592564173632325,3.537302385801082,3.537302385801082,3930.0242632026866,140.00000000000006,0.00028816497777777773,hybrid(lambda=1.0)
31,hybrid,1.0,22,22,True,2,3.9574438797916986,3.706352049796943,3.706352049796943,3800.840741917759,161.0000000000001,0.00028816497777777773,hybrid(lambda=1.0)
32,hybrid,1.0,19,10,False,1,4.764300438682623,5.443807801269997,5.443807801269997,1925.8219026459756,76.99999999999997,0.00028816497777777773,hybrid(lambda=1.0)
33,hybrid,1.0,24,19,False,1,3.317061320723917,3.5423000113147687,3.5423000113147687,3763.4174023318837,140.00000000000006,0.00028816497777777773,hybrid(lambda=1.0)
34,hybrid,1.0,16,29,False,1,3.5460165854435974,4.588849277943547,4.588849277943547,6606.427662397167,210.00000000000003,0.00028816497777777773,hybrid(lambda=1.0)
35,hybrid,1.0,7,6,False,1,3.514499475295576,3.652717323726928,3.652717323726928,880.0775019050284,48.99999999999993,0.00028816497777777773,hybrid(lambda=1.0)
36,hybrid,1.0,5,7,False,1,3.5134450252291094,3.4874408544833533,3.4874408544833533,761.0369987659128,55.99999999999994,0.00028816497777777773,hybrid(lambda=1.0)
37,hybrid,1.0,9,18,False,1,3.8905539343875746,3.8735655044739903,3.8735655044739903,3623.9790131373934,133.00000000000003,0.00028816497777777773,hybrid(lambda=1.0)
38,hybrid,1.0,16,12,False,1,4.143293603620338,3.9094290744115225,3.9094290744115225,1100.3258641201394,90.99999999999999,0.00028816497777777773,hybrid(lambda=1.0)
39,hybrid,1.0,5,31,False,1,3.867867899119533,4.219440596748974,4.219440596748974,6441.940481066207,224.00000000000009,0.0003323502743703703,hybrid(lambda=1.0)
0,hybrid,3.0,26,10,False,1,4.580041454786828,4.261220393619304,4.261220393619304,1618.6447493701642,76.99999999999997,0.0002,hybrid(lambda=3.0)
1,hybrid,3.0,5,29,False,1,3.264217291378971,3.7923650618174145,3.7923650618174145,6503.877222768114,210.0,0.0002,hybrid(lambda=3.0)
2,hybrid,3.0,16,27,False,1,3.1604998889671743,3.4090079686997705,3.4090079686997705,5516.6506821228495,196.00000000000009,0.0002,hybrid(lambda=3.0)
3,hybrid,3.0,5,3,False,1,3.2241169009648383,3.528128749122682,3.528128749122682,363.70016685600064,27.999999999999986,0.0002,hybrid(lambda=3.0)
4,hybrid,3.0,5,12,False,1,3.653955940177297,4.085081145309302,4.085081145309302,2407.927079851784,90.99999999999999,0.0002,hybrid(lambda=3.0)
5,hybrid,3.0,16,31,False,1,3.323161630230646,3.4350998001083033,3.4350998001083033,5967.504838859084,224.00000000000006,0.0002,hybrid(lambda=3.0)
6,hybrid,3.0,5,40,False,1,3.61217740285636,3.7366559597906566,3.7366559597906566,8390.00752954727,280.0,0.0002,hybrid(lambda=3.0)
7,hybrid,3.0,7,5,False,1,3.430908212151391,3.406308782089538,3.406308782089538,673.6419996456893,41.99999999999997,0.0002,hybrid(lambda=3.0)
8,hybrid,3.0,16,38,False,1,3.4826310029834864,3.903443895633538,3.903443895633538,8842.920123179105,272.99999999999994,0.0002,hybrid(lambda=3.0)
9,hybrid,3.0,7,3,False,1,3.9168659961182644,4.110741773051968,4.110741773051968,424.5277306950127,27.999999999999982,0.000264,hybrid(lambda=3.0)
10,hybrid,3.0,1,17,False,1,3.76304530705829,3.864796750608002,3.864796750608002,3360.675178820392,126.00000000000007,0.000264,hybrid(lambda=3.0)
11,hybrid,3.0,1,7,False,1,3.903538600703472,4.041442367004528,4.041442367004528,878.1244954731626,55.99999999999994,0.000264,hybrid(lambda=3.0)
12,hybrid,3.0,14,8,False,1,3.7053380649350234,3.648609187805253,3.648609187805253,858.3401828133793,62.99999999999993,0.000264,hybrid(lambda=3.0)
13,hybrid,3.0,17,16,False,1,4.052021353684821,4.561763003780314,4.561763003780314,3301.7281413365395,119.00000000000007,0.000264,hybrid(lambda=3.0)
14,hybrid,3.0,7,10,False,1,3.9382830264883513,4.727918168862674,4.727918168862674,1925.8219026459753,76.99999999999996,0.000264,hybrid(lambda=3.0)
15,hybrid,3.0,19,18,True,2,3.9368934871807437,4.6530988156807815,4.6530988156807815,3886.9753523372037,133.00000000000003,0.000264,hybrid(lambda=3.0)
